Product,Frequency,Percent
\N,5828,0.4
AmplifierReceiver,4056,0.2
AudioMP3Player,112892,6.8
Binoculars,14599,0.9
BoomBox,2879,0.2
Camcorders,987,0.1
CameraAccessory,2269,0.1
CameraBag,17523,1.1
CameraBattery,41307,2.5
CameraBatteryCharger,15660,0.9
CameraBatteryGrip,401,0
CameraEyeCup,98,0
CameraFilmRolls,1905,0.1
CameraHousing,19,0
CameraLEDLight,3,0
CameraMicrophone,51,0
CameraMount,1129,0.1
CameraRemoteControl,6061,0.4
CameraStorageMemoryCard,17985,1.1
CameraTripod,37909,2.3
CodeInTheBoxGame,9345,0.6
CoolingPad,46,0
DJController,215,0
Dock,2160,0.1
DockingStation,381,0
DSLR,56615,3.4
ExtensionTube,87,0
Filter,12718,0.8
Flash,48769,3
FlashShoeAdapter,2,0
FMRadio,28259,1.7
GameControlMount,1,0
GamePad,59115,3.6
GameValueCards,97,0
GamingAccessoryKit,9508,0.6
GamingAdapter,3232,0.2
GamingChargingStation,47,0
GamingConsole,9676,0.6
GamingGun,5,0
GamingHeadset,62311,3.8
GamingKeyboard,6799,0.4
GamingMemoryCard,6300,0.4
GamingMouse,37484,2.3
GamingMousePad,4887,0.3
GamingSpeaker,500,0
HandheldGamingConsole,19383,1.2
HiFiSystem,1563,0.1
HomeAudioSpeaker,85607,5.2
HomeTheatre,4254,0.3
Instant Cameras,2569,0.2
JoystickGamingWheel,2863,0.2
KaraokePlayer,2,0
LaptopSpeaker,287850,17.5
Lens,35474,2.2
Microphone,9079,0.6
MicrophoneAccessory,2634,0.2
MobileSpeaker,250250,15.2
MotionController,1183,0.1
PhysicalGame,105061,6.4
Point & Shoot,38740,2.3
ReflectorUmbrella,3,0
RemoteControl,39724,2.4
SelectorBox,46253,2.8
SlingBox,3,0
Softbox,15,0
SoundMixer,69,0
SportsAndAction,2261,0.1
Strap,1676,0.1
Teleconverter,1,0
Telescope,1829,0.1
TVOutCableAccessory,7618,0.5
VideoGlasses,36723,2.2
VideoPlayer,20295,1.2
VoiceRecorder,3722,0.2
Total,"1,648,824",100
